CRIME CATEGORY,"January 2021 to 
March 2021","January 2022 to 
March 2022","January 2023 to 
March 2023","January 2024 to 
March 2024","January 2025 to 
March 2025",Count Diff,(%) Change
CONTACT CRIMES (CRIMES AGAINST THE  PERSON),,,,,,,
Murder,711,762,660,906,867,-39,-0.043046358
Sexual offences,1038,1144,1059,1044,1026,-18,-0.017241379
Attempted murder,665,617,584,820,730,-90,-0.109756098
Assault with the intent to inflict grievous bodily harm,2423,2756,2698,2735,2824,89,0.032541133
Common assault,5310,6047,6577,7165,7222,57,0.007955338
Common robbery,1429,1764,1983,2332,2211,-121,-0.051886792
Robbery with aggravating circumstances,3717,3617,4335,4824,4386,-438,-0.09079602
Contact crime (Crimes against the person),15293,16707,17896,19826,19266,-560,-0.028245738
SEXUAL OFFENCES - BREAKDOWN,,,,,,,
Rape,716,794,720,732,705,-27,-0.036885246
Sexual assault,259,272,253,213,244,31,0.145539906
Attempted sexual offences,32,49,57,65,43,-22,22 counts lower
Contact sexual offences,31,29,29,34,34,0,0 count diff
SOME SUBCATEGORIES OF AGGRAVATED ROBBERY,,,,,,,
Carjacking,577,568,612,713,551,-162,-0.227208976
Robbery at residential premises,590,504,423,433,419,-14,-0.032332564
Robbery at non-residential premises,259,246,201,225,149,-76,-0.337777778
TRIO Crime,1426,1318,1236,1371,1119,-252,-0.18380744
Robbery of cash in transit,1,1,1,2,1,-1,1 count lower
Bank robbery,0,5,0,0,0,0,0 count diff
Truck hijacking,17,10,9,26,11,-15,15 counts lower
CONTACT-RELATED CRIMES,,,,,,,
Arson,92,114,85,99,110,11,0.111111111
Malicious damage to property,3941,4315,4343,4192,4285,93,0.022185115
Contact-related crime,4033,4429,4428,4291,4395,104,0.024236775
PROPERTY-RELATED CRIMES,,,,,,,
Burglary at non-residential premises,952,876,998,859,597,-262,-0.305005821
Burglary at residential premises,3349,3557,3727,3425,2846,-579,-0.169051095
Theft of motor vehicle and motorcycle,938,1093,1097,1029,880,-149,-0.144800777
Theft out of or from motor vehicle,3480,3935,4155,4007,3600,-407,-0.101572249
Stock-theft,9,12,11,13,16,3,3 counts higher
Property-related crime,8728,9473,9988,9333,7939,-1394,-0.149362477
OTHER SERIOUS CRIMES,,,,,,,
All theft not mentioned elsewhere,8327,9643,10463,9443,8459,-984,-0.104204172
Commercial crime,2578,3335,3746,4724,5143,419,0.08869602
Shoplifting,1624,1499,1500,1518,1167,-351,-0.231225296
Other serious crime,12529,14477,15709,15685,14769,-916,-0.058399745
,,,,,,,
17 Community reported serious crime,40583,45086,48021,49135,46369,-2766,-0.056293884
,,,,,,,
CRIMES DETECTED AS A RESULT OF POLICE ACTION ,,,,,,,
Illegal possession of firearms and ammunition,555,544,591,614,746,132,0.214983713
Drug-related crime,9038,12186,12004,13279,15136,1857,0.139844868
Driving under the influence of alcohol or drugs,481,706,1137,1070,973,-97,-0.090654206
Sexual offences detected as a result of police action,18,3,9,4,5,1,1 count higher
Crime detected as a result of police action,10092,13439,13741,14967,16860,1893,0.126478252
,,,,,,,
,,,,,,,
Kidnapping,140,167,137,207,146,-61,-0.29468599
